run_order,phase,initial_lr,num_hidden_layers,lr_candidate,test_acc,test_loss,train_time_sec,initial_layers,learning_rate,layer_candidate,,,,,,,
1,learning_rate,0.0001,1,5.00E-05,0.866999984,0.54075253,3.805383921,,,,,,,,,,
2,learning_rate,0.0001,1,0.0002,0.913699985,0.315169156,3.021622896,,,,,,,,,,
3,learning_rate,0.0001,1,0.0001,0.888400018,0.410191357,3.006757975,,,,,Condition,Initial Learning Rate,Initial Depth,Optimal Learning Rate,Optimal Depth,Optimal Accuracy
4,learning_rate,0.0001,1,0.0004,0.93690002,0.220119342,2.971873045,,,,,Original Model ,0.001,1,N/A,N/A,0.9531
5,learning_rate,0.0001,1,0.0008,0.949500024,0.163848385,2.977364779,,,,,Initial Guess 1,0.0001,1,0.0064,1,0.9632
6,learning_rate,0.0001,1,0.0016,0.960900009,0.132210404,3.054264784,,,,,Initial Guess 2,0.001,1,0.002,2,0.9671
7,learning_rate,0.0001,1,0.0032,0.961899996,0.117753416,3.01969409,,,,,Initial Guess 3,0.01,1,0.005,2,0.9653
8,learning_rate,0.0001,1,0.0064,0.963199973,0.120000854,2.991008997,,,,,,,,,,
9,learning_rate,0.0001,1,0.0128,0.949000001,0.167545274,2.968072653,,,,,,,,,,
10,layers,,,,0.960500002,0.128171504,3.484608173,1,0.0064,1,,,,,,,
11,layers,,,,0.961300015,0.129802212,3.968667269,1,0.0064,2,,,,,,,
12,layers,,,,0.949500024,0.176151946,5.133178234,1,0.0064,4,,,,,,,
13,learning_rate,0.0001,5,5.00E-05,0.879899979,0.39584893,5.746622562,,,,,,,,,,
14,learning_rate,0.0001,5,0.0002,0.941100001,0.188815936,6.616811514,,,,,,,,,,
15,learning_rate,0.0001,5,0.0001,0.923699975,0.249950513,6.31299448,,,,,,,,,,
16,learning_rate,0.0001,5,0.0004,0.958199978,0.133709133,6.110205889,,,,,,,,,,
17,learning_rate,0.0001,5,0.0008,0.958100021,0.138708338,6.133550882,,,,,,,,,,
18,layers,,,,0.94630003,0.166050255,5.422587633,5,0.0004,2,,,,,,,
19,layers,,,,0.935000002,0.229012936,3.822967768,5,0.0004,1,,,,,,,
20,layers,,,,0.957000017,0.13732104,5.781767607,5,0.0004,4,,,,,,,
21,learning_rate,0.0001,10,5.00E-05,0.681100011,0.840065062,10.54465556,,,,,,,,,,
22,learning_rate,0.0001,10,0.0002,0.931800008,0.260282069,10.48427463,,,,,,,,,,
23,learning_rate,0.0001,10,0.0001,0.814400017,0.541445971,10.00656438,,,,,,,,,,
24,learning_rate,0.0001,10,0.0004,0.943499982,0.230973393,11.85643697,,,,,,,,,,
25,learning_rate,0.0001,10,0.0008,0.948599994,0.202107832,11.74819875,,,,,,,,,,
26,learning_rate,0.0001,10,0.0016,0.943000019,0.219739795,10.77268839,,,,,,,,,,
27,layers,,,,0.960799992,0.128746867,7.164262295,10,0.0008,5,,,,,,,
28,layers,,,,0.959999979,0.122867495,4.80860877,10,0.0008,2,,,,,,,
29,learning_rate,0.001,1,0.0005,0.941799998,0.206707403,3.980131388,,,,,,,,,,
30,learning_rate,0.001,1,0.002,0.960500002,0.123757407,3.683544159,,,,,,,,,,
31,learning_rate,0.001,1,0.001,0.953100026,0.152291477,3.838143349,,,,,,,,,,
32,learning_rate,0.001,1,0.004,0.957099974,0.126445532,3.438266039,,,,,,,,,,
33,layers,,,,0.961700022,0.120895445,3.668797731,1,0.002,1,,,,,,,
34,layers,,,,0.967100024,0.105866037,5.633535385,1,0.002,2,,,,,,,
35,layers,,,,0.962000012,0.128829315,6.478736162,1,0.002,4,,,,,,,
36,learning_rate,0.001,5,0.0005,0.956099987,0.143993452,6.140731573,,,,,,,,,,
37,learning_rate,0.001,5,0.002,0.960099995,0.136437118,6.979250669,,,,,,,,,,
38,learning_rate,0.001,5,0.001,0.959999979,0.133606836,6.814175844,,,,,,,,,,
39,learning_rate,0.001,5,0.004,0.953800023,0.166520685,6.670127153,,,,,,,,,,
40,layers,,,,0.962499976,0.120200612,4.480979919,5,0.002,2,,,,,,,
41,layers,,,,0.964699984,0.117011167,3.945598125,5,0.002,1,,,,,,,
42,layers,,,,0.961300015,0.132165357,5.814272642,5,0.002,4,,,,,,,
43,learning_rate,0.001,10,0.0005,0.949100018,0.200135455,12.28891349,,,,,,,,,,
44,learning_rate,0.001,10,0.002,0.93809998,0.222364619,10.95492649,,,,,,,,,,
45,learning_rate,0.001,10,0.00025,0.937399983,0.229363695,10.83690166,,,,,,,,,,
46,learning_rate,0.001,10,0.001,0.944199979,0.219227314,10.3341341,,,,,,,,,,
47,layers,,,,0.958100021,0.133236632,6.546343803,10,0.0005,5,,,,,,,
48,layers,,,,0.954900026,0.14092271,4.423454762,10,0.0005,2,,,,,,,
49,learning_rate,0.01,1,0.005,0.96390003,0.1185546,3.979388237,,,,,,,,,,
50,learning_rate,0.01,1,0.02,0.946799994,0.182181358,4.336644411,,,,,,,,,,
51,learning_rate,0.01,1,0.0025,0.963800013,0.117263392,4.595830441,,,,,,,,,,
52,learning_rate,0.01,1,0.01,0.960099995,0.136091664,4.105686188,,,,,,,,,,
53,layers,,,,0.963800013,0.119634829,4.222982407,1,0.005,1,,,,,,,
54,layers,,,,0.965300024,0.115924098,4.595261097,1,0.005,2,,,,,,,
55,layers,,,,0.955600023,0.154012546,6.234432697,1,0.005,4,,,,,,,
56,learning_rate,0.01,5,0.005,0.956700027,0.167901739,7.284232378,,,,,,,,,,
57,learning_rate,0.01,5,0.02,0.789399981,0.788944423,7.04032588,,,,,,,,,,
58,learning_rate,0.01,5,0.0025,0.957400024,0.145611688,6.754449844,,,,,,,,,,
59,learning_rate,0.01,5,0.01,0.931599975,0.265097797,6.67513752,,,,,,,,,,
60,learning_rate,0.01,5,0.00125,0.960500002,0.131367534,9.808906555,,,,,,,,,,
61,learning_rate,0.01,5,0.000625,0.958500028,0.133419484,9.262332439,,,,,,,,,,
62,layers,,,,0.963,0.113293394,6.211302519,5,0.00125,2,,,,,,,
63,layers,,,,0.959200025,0.141467765,4.839340925,5,0.00125,1,,,,,,,
64,layers,,,,0.959200025,0.131176606,7.931457281,5,0.00125,4,,,,,,,
65,learning_rate,0.01,10,0.005,0.863099992,0.507690012,12.46595001,,,,,,,,,,
66,learning_rate,0.01,10,0.02,0.113499999,2.301417351,10.54629612,,,,,,,,,,
67,learning_rate,0.01,10,0.0025,0.937300026,0.267706424,15.53297901,,,,,,,,,,
68,learning_rate,0.01,10,0.01,0.394600004,1.382267118,14.3654685,,,,,,,,,,
69,learning_rate,0.01,10,0.00125,0.937600017,0.236171857,15.43472576,,,,,,,,,,
70,learning_rate,0.01,10,0.000625,0.949199975,0.19091703,14.44751477,,,,,,,,,,
71,learning_rate,0.01,10,0.000313,0.941799998,0.227213547,12.13365102,,,,,,,,,,
72,layers,,,,0.959699988,0.134840637,7.999435425,10,0.000625,5,,,,,,,
73,layers,,,,0.959500015,0.13346301,6.60159564,10,0.000625,2,,,,,,,
